tweet_text,time,wait_time
kingston terminal - one hour wait - no wsp boarding pass required,2017-11-05 20:55 +0000,1.0
update - no extended wait departing kingston,2017-11-06 03:00 +0000,0.0
kingston terminal - one hour wait - no wsp boarding pass required,2017-11-11 18:40 +0000,1.0
update - no extended wait departing kingston,2017-11-11 23:20 +0000,0.0
kingston terminal - one hour wait - no wsp boarding pass required,2017-11-12 21:05 +0000,1.0
kingston terminal - two hour wait - no wsp boarding pass required,2017-11-12 23:25 +0000,2.0
update - no extended wait departing kingston,2017-11-13 03:05 +0000,0.0
kingston wait time - one hour,2017-11-17 23:45 +0000,1.0
update - no extended wait departing kingston,2017-11-18 02:40 +0000,0.0
kingston wait time - one hour,2017-11-18 18:35 +0000,1.0
update - no extended wait departing kingston,2017-11-18 20:10 +0000,0.0
kingston wait time - one hour,2017-11-19 19:45 +0000,1.0
update - no extended wait departing kingston,2017-11-20 02:25 +0000,0.0
kingston wait time - one hour,2017-11-23 17:30 +0000,1.0
kingston wait time - two hour,2017-11-23 18:35 +0000,2.0
kingston wait time - two hours w/ wsp boarding pass required,2017-11-23 18:40 +0000,2.0
kingston wait time - one hour  no wsp boarding pass required,2017-11-23 22:05 +0000,1.0
kingston wait time - one hour -  no wsp boarding pass required,2017-11-23 22:20 +0000,1.0
update - no extended wait departing kingston,2017-11-23 23:05 +0000,0.0
kingston wait time - one hour -  no wsp boarding pass required,2017-11-24 20:00 +0000,1.0
update - no extended wait departing kingston,2017-11-25 03:20 +0000,0.0
kingston wait time - one hour -  no wsp boarding pass required,2017-11-25 17:45 +0000,1.0
update - no extended wait departing kingston,2017-11-26 03:20 +0000,0.0
kingston wait time - one hour -  no wsp boarding pass required,2017-11-26 21:15 +0000,1.0
update - no extended wait departing kingston,2017-11-27 01:25 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass,2018-06-02 16:55 +0000,1.0
no extended wait departing kingston,2018-06-03 02:40 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass,2018-06-03 17:50 +0000,1.0
no extended wait departing kingston,2018-06-04 02:35 +0000,0.0
kingston terminal - 1 hour wait -  no wsp boarding pass,2018-06-09 16:55 +0000,1.0
no extended wait departing kingston,2018-06-09 20:50 +0000,0.0
kingston terminal wait time - two hours,2018-06-10 20:00 +0000,2.0
kingston terminal wait 2 hours - wsp boarding passes required,2018-06-10 20:20 +0000,2.0
kingston terminal wait time - one hour,2018-06-11 02:10 +0000,1.0
no extended wait departing kingston,2018-06-11 04:00 +0000,0.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-15 21:25 +0000,1.0
no extended wait departing kingston,2018-06-16 02:50 +0000,0.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-16 17:10 +0000,1.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-17 17:45 +0000,1.0
kingston terminal wait 2 hours - wsp boarding passes required,2018-06-17 18:05 +0000,2.0
kingston terminal wait time - two hours - no wsp boarding pass,2018-06-18 03:35 +0000,2.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-18 20:20 +0000,1.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-22 22:15 +0000,1.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-23 21:25 +0000,1.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-24 16:55 +0000,1.0
kingston terminal wait 2 hours - wsp boarding passes required,2018-06-24 19:10 +0000,2.0
no extended wait departing kingston,2018-06-25 04:30 +0000,0.0
kingston terminal wait time - one hour/no wsp boarding pass,2018-06-25 18:30 +0000,1.0
ed/king - kingston terminal one hour wait - no wsp boarding pass,2018-06-27 17:40 +0000,1.0
no extended wait departing kingston,2018-06-27 21:10 +0000,0.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-06-29 23:10 +0000,1.0
kingston terminal status - 1 hour wait,2019-06-02 19:35 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-06-02 21:20 +0000,2.0
no extended wait departing kingston,2019-06-03 03:50 +0000,0.0
update - one hour wait departing edmonds and kingston terminals,2019-06-07 22:20 +0000,1.0
"update - 2 hour wait departing edmonds, 1 hour departing kingston",2019-06-07 22:40 +0000,1.0
no extended wait departing kingston,2019-06-08 00:25 +0000,0.0
kingston terminal status - 1 hour wait,2019-06-09 17:25 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-06-09 19:50 +0000,2.0
