tweet_text,time,wait_time
no extended wait departing edmonds,2018-06-16 21:50 +0000,0.0
edmonds terminal wait time - one hour,2018-06-21 22:05 +0000,1.0
no extended wait departing edmonds,2018-06-22 02:30 +0000,0.0
edmonds terminal wait time - one hour,2018-06-22 19:10 +0000,1.0
edmonds terminal wait time - 90 minutes,2018-06-22 20:50 +0000,1.5
edmonds terminal wait time - three hours,2018-06-22 21:05 +0000,3.0
edmonds terminal wait time - one hour,2018-06-23 16:00 +0000,1.0
update - edmonds terminal wait time - two hours,2018-06-23 18:00 +0000,2.0
no extended wait departing edmonds,2018-06-24 00:40 +0000,0.0
update - edmonds terminal wait time - one hour,2018-06-24 19:40 +0000,1.0
no extended wait departing edmonds,2018-06-24 23:20 +0000,0.0
ed/ki - edmonds terminal - one hour wait,2018-06-28 20:50 +0000,1.0
edmonds terminal wait time - one hour,2018-06-28 22:10 +0000,1.0
edmonds terminal wait time - 90 minutes,2018-06-29 00:20 +0000,1.5
no extended wait departing edmonds,2018-06-29 02:30 +0000,0.0
edmonds terminal wait time - one hour,2018-06-29 19:55 +0000,1.0
edmonds terminal wait time - 90 minutes,2018-06-29 21:15 +0000,1.5
no extended wait departing edmonds,2018-06-30 03:50 +0000,0.0
edmonds terminal wait time - one hour,2018-06-30 16:55 +0000,1.0
update - edmonds terminal status - two hour wait,2019-06-01 00:55 +0000,2.0
update - edmonds terminal status - one hour wait,2019-06-01 02:15 +0000,1.0
no extended wait departing edmonds,2019-06-01 03:40 +0000,0.0
edmonds terminal status - two hour wait,2019-06-01 20:15 +0000,2.0
no extended wait departing edmonds,2019-06-01 21:45 +0000,0.0
edmonds terminal status - one hour wait,2019-06-07 20:35 +0000,1.0
update - one hour wait departing edmonds and kingston terminals,2019-06-07 22:20 +0000,1.0
"update - 2 hour wait departing edmonds, 1 hour departing kingston",2019-06-07 22:40 +0000,2.0
update - edmonds terminal status - two hour wait,2019-06-08 00:35 +0000,2.0
update - edmonds terminal status - one hour wait,2019-06-08 01:45 +0000,1.0
no extended wait departing edmonds,2019-06-08 02:20 +0000,0.0
edmonds terminal status - one hour wait,2019-06-08 19:20 +0000,1.0
no extended wait departing edmonds,2019-06-09 00:45 +0000,0.0
edmonds terminal status - one hour wait,2019-06-13 23:35 +0000,1.0
no extended wait departing edmonds,2019-06-14 03:05 +0000,0.0
edmonds terminal status - one hour wait,2019-06-14 20:30 +0000,1.0
update - edmonds terminal status - two hour wait,2019-06-14 21:35 +0000,2.0
update - edmonds terminal status - 90 minute wait,2019-06-15 00:25 +0000,1.5
update - edmonds terminal status - one hour wait,2019-06-15 01:10 +0000,1.0
no extended wait departing edmonds,2019-06-15 03:15 +0000,0.0
edmonds terminal status - one hour wait,2019-06-15 16:35 +0000,1.0
no extended wait departing edmonds or kingston,2019-06-16 04:25 +0000,0.0
edmonds terminal status - 90 minute wait,2019-06-17 23:25 +0000,1.5
no extended wait departing edmonds,2019-06-18 01:00 +0000,0.0
edmonds terminal status - one hour wait,2019-06-20 22:05 +0000,1.0
no extended wait departing edmonds,2019-06-21 03:00 +0000,0.0
edmonds terminal status - one hour wait,2019-06-21 19:50 +0000,1.0
update - edmonds terminal status - two hour wait,2019-06-21 21:25 +0000,2.0
update - edmonds terminal status - one hour wait,2019-06-22 02:15 +0000,1.0
edmonds terminal status - one hour wait - late vessel,2019-06-22 03:05 +0000,1.0
edm/king-edmonds terminal status- one hour wait,2019-06-22 17:00 +0000,1.0
no extended wait departing edmonds,2019-06-23 02:15 +0000,0.0
edmonds terminal status - one hour wait,2019-06-26 22:05 +0000,1.0
no extended wait departing edmonds,2019-06-27 02:35 +0000,0.0
edmonds terminal status - two hour wait,2019-06-28 00:15 +0000,2.0
update - edmonds terminal status - one hour wait,2019-06-28 01:00 +0000,1.0
no extended wait departing edmonds,2019-06-28 03:15 +0000,0.0
edmonds terminal status - one hour wait,2019-06-28 20:25 +0000,1.0
edmonds terminal status - two hour wait,2019-06-28 22:00 +0000,2.0
edmonds terminal status - three hour wait,2019-06-28 23:30 +0000,3.0
"edmonds terminal status - three hour wait, late vessel",2019-06-29 00:15 +0000,3.0
"edmonds terminal status - one hour wait, both vessels behind schedule",2019-06-29 02:00 +0000,1.0
no extended wait for drivers departing edmonds,2019-06-29 03:10 +0000,0.0
ed/ki- edmonds wait time - 60 minutes,2016-12-24 20:50 +0000,1.0
ed/king- edmonds wait time - 60 minutes,2016-12-24 20:55 +0000,1.0
ed/king- edmonds - no extended wait,2016-12-24 23:40 +0000,0.0
edm/ki- edmonds terminal wait time:  1 hour,2016-12-25 20:15 +0000,1.0
update - no extended wait departing edmonds,2016-12-26 00:30 +0000,0.0
edmonds terminal wait time - 1 hour,2016-12-26 20:30 +0000,1.0
update - no extended wait departing edmonds,2016-12-27 02:05 +0000,0.0
edmonds terminal wait time - one hour,2016-12-30 00:35 +0000,1.0
update - no extended wait departing edmonds,2016-12-30 03:40 +0000,0.0
ed/ki - edmonds terminal - one hour wait,2016-12-30 23:25 +0000,1.0
ed/ki - edmonds terminal - no extended wait,2016-12-31 02:55 +0000,0.0
